data_year,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3,checked_cars,driven_avg,driven_med
2019,2009,Citroen,C3 PICASSO,36.12,Etuakselisto,Ohjausnivelet ja -tangot,Dieselmoottorin pakokaasumittaus,274,154000,144000
2019,2009,Citroen,C4,28.45,Ohjausnivelet ja -tangot,Etuakselisto,Käyttöjarru,355,152000,145000
2019,2009,Citroen,C4 PICASSO,31.78,Etuakselisto,Käyttöjarru,Jousitus ja iskunvaimennus,214,205000,190000
2019,2009,Citroen,C5,25.33,Etuakselisto,Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus,683,218000,206000
2019,2009,Dodge,AVENGER,25.11,Etuakselisto,Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD),219,161000,154000
2019,2009,Dodge,CALIBER,60.28,Taka-akselisto,Etuakselisto,Ohjausnivelet ja -tangot,214,172000,169000
2019,2009,Dodge,JOURNEY,52.4,Etuakselisto,Ohjausnivelet ja -tangot,Seisontajarrun dynamometritesti,292,207000,207000
2019,2009,Fiat,500,27.02,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti,137,104000,97000
2019,2009,Fiat,BRAVO,29.1,Ohjausnivelet ja -tangot,,,165,157000,147000
2019,2009,Fiat,LINEA,15.49,Jousitus ja iskunvaimennus,,,297,136000,130000
2019,2009,Fiat,PUNTO,19.19,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,Ohjausnivelet ja -tangot,537,113000,107000
2019,2009,Ford,C-MAX,26.45,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru,189,178000,170000
2019,2009,Ford,FIESTA,26.84,Etuakselisto,Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus,1662,126000,118000
2019,2009,Ford,FOCUS,23.72,Etuakselisto,Jousitus ja iskunvaimennus,Dieselmoottorin pakokaasumittaus,2719,173000,163000
2019,2009,Ford,FUSION,5.6,,,,250,115000,114000
2019,2009,Ford,GALAXY,34.12,Taka-akselisto,Jousitus ja iskunvaimennus,,129,258000,247000
2019,2009,Ford,KA,23.08,Etuakselisto,Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti,429,107000,100000
2019,2009,Ford,KUGA,15.15,Jousitus ja iskunvaimennus,,,198,229000,229000
2019,2009,Ford,MONDEO,21.55,Taka-akselisto,Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot,2023,239000,232000
2019,2009,Ford,S-MAX,26.22,Jousitus ja iskunvaimennus,Taka-akselisto,,328,247000,240000
2019,2009,Ford,TRANSIT,35.78,Alustan kotelot ja pohjalevy,Ohjausnivelet ja -tangot,,109,300000,272000
2019,2009,Honda,ACCORD,17.1,Etuakselisto,Käyttöjarru,Seisontajarrun dynamometritesti,877,211000,206000
2019,2009,Honda,CIVIC,15.45,Jousitus ja iskunvaimennus,Käyttöjarru,Käyttöjarrun dynamometritesti,893,139000,134000
2019,2009,Honda,CR-V,9.83,Jousitus ja iskunvaimennus,Käyttöjarru,Ohjausnivelet ja -tangot,1607,211000,206000
2019,2009,Honda,INSIGHT,11.4,Käyttöjarru,,,193,141000,137000
2019,2009,Honda,JAZZ,7.27,Käyttöjarru,Käyttöjarrun dynamometritesti,,619,121000,117000
2019,2009,Hyundai,GETZ,17.11,,,,152,140000,127000
2019,2009,Hyundai,I20,12.15,Käyttöjarru,Käyttöjarrun dynamometritesti,Seisontajarrun dynamometritesti,576,117000,111000
2019,2009,Hyundai,I30,29.27,Taka-akselisto,Seisontajarrun dynamometritesti,Käyttöjarru,793,165000,157000
2019,2009,Hyundai,SONATA,23.38,Etuakselisto,Seisontajarrun dynamometritesti,,201,231000,222000
2019,2009,Jaguar,XF,16.67,Taka-akselisto,,,144,182000,183000
2019,2009,Kia,CEED,22.12,Taka-akselisto,Seisontajarrun dynamometritesti,Käyttöjarru,2083,164000,156000
2019,2009,Kia,SORENTO,32.72,Etuakselisto,Seisontajarrun dynamometritesti,Voimansiirto,107,212000,212000
2019,2009,Kia,SPORTAGE,25.0,Etuakselisto,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD),164,161000,161000
2019,2009,Lexus,RX450H,9.74,,,,154,176000,180000
2019,2009,Mazda,2,26.86,Etuakselisto,Ohjausnivelet ja -tangot,Sisäinen valvontajärjestelmä (OBD),283,120000,117000
2019,2009,Mazda,3,22.98,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru,709,139000,136000
2019,2009,Mazda,5,30.23,Etuakselisto,Jousitus ja iskunvaimennus,Taka-akselisto,172,184000,182000
2019,2009,Mazda,6,17.08,Käyttöjarru,Käyttöjarrun dynamometritesti,Etuakselisto,1499,187000,182000
2019,2009,Mercedes-Benz,A,12.85,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,Etuakselisto,459,121000,116000
2019,2009,Mercedes-Benz,B,21.78,Jousitus ja iskunvaimennus,Etuakselisto,Seisontajarrun dynamometritesti,381,167000,155000
2019,2009,Mercedes-Benz,C,23.47,Etuakselisto,Seisontajarrun dynamometritesti,Käyttöjarru,2407,220000,216000
2019,2009,Mercedes-Benz,E,19.5,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,Etuakselisto,2549,257000,234000
2019,2009,Mercedes-Benz,GLK,16.92,Etuakselisto,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,520,203000,199000
2019,2009,Mercedes-Benz,M,16.05,Käyttöjarru,,,162,226000,218000
2019,2009,Mercedes-Benz,S,26.67,Etuakselisto,Seisontajarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD),135,202000,194000
2019,2009,Mercedes-Benz,SPRINTER,24.6,Seisontajarrun dynamometritesti,,,122,424000,467000
2019,2009,Mini,COOPER,14.03,Sisäinen valvontajärjestelmä (OBD),,,278,127000,120000
2019,2009,Mitsubishi,COLT,12.29,,,,179,118000,107000
2019,2009,Mitsubishi,LANCER,20.48,Ohjausnivelet ja -tangot,Käyttöjarru,Etuakselisto,332,155000,147000
2019,2009,Mitsubishi,OUTLANDER,26.47,Ohjausnivelet ja -tangot,Etuakselisto,Käyttöjarru,238,221000,219000
