Käyttöönottovuosi,Merkki,Malli,Hylkäys %,Yleisin hylkäyssyy,Toiseksi yleisin hylkäyssyy,Kolmanneksi yleisin hylkäyssyy
2009,Opel,INSIGNIA,8.3,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
2009,Jaguar,XF,8.3,,,
2009,Nissan,X-TRAIL,8.3,,,
2009,BMW,1,8.3,Taka-akselisto,Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
2009,Opel,ZAFIRA,8.4,,,
2009,Ford,MONDEO,8.5,Renkaat ja vanteet,Ohjausnivelet ja -tangot,Käyttöjarru
2009,Hyundai,I20,8.5,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Käyttöjarrun dynamometritesti
2009,BMW,3,8.5,Taka-akselisto,Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
2009,Mercedes-Benz,GLK,8.5,,,
2009,Ford,FOCUS,9.0,Dieselmoottorin pakokaasumittaus,Etuakselisto,Jousitus ja iskunvaimennus
2009,Citroen,C4 PICASSO,9.1,,,
2009,BMW,X5,9.1,,,
2009,Peugeot,206,9.2,,,
2009,Nissan,QASHQAI,9.3,Etuakselisto,Käyttöjarru,Renkaat ja vanteet
2009,Citroen,BERLINGO,9.4,Etuakselisto,Dieselmoottorin pakokaasumittaus,Jousitus ja iskunvaimennus
2009,Citroen,C2,9.5,,,
2009,Mitsubishi,OUTLANDER,9.7,,,
2009,Kia,CEED,9.7,Taka-akselisto,Renkaat ja vanteet,Seisontajarrun dynamometritesti
2009,Volkswagen,CADDY,10.1,Etuakselisto,Renkaat ja vanteet,Seisontajarrun dynamometritesti
2009,Volkswagen,TOURAN,10.2,Jousitus ja iskunvaimennus,Etuakselisto,Renkaat ja vanteet
2009,Hyundai,GETZ,10.3,,,
2009,Fiat,LINEA,10.4,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Käyttöjarru
2009,Mercedes-Benz,B,10.6,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,Sisäinen valvontajärjestelmä (OBD)
2009,Seat,LEON,10.7,,,
2009,Volvo,S60,10.7,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti,Renkaat ja vanteet
2009,Renault,MEGANE,10.8,Etuakselisto,Käyttöjarru,Käyttöjarrun dynamometritesti
2009,Ford,KA,10.9,Etuakselisto,Jousitus ja iskunvaimennus,Käyttöjarru
2009,Peugeot,PARTNER,11.0,,,
