,model_year,brand,model,checked_cars,fail_pct,driven_avg,driven_med,reason_1,reason_2,reason_3
1090,2009,Toyota,AVENSIS,5026,6.01,157000,145000,Käyttöjarru,Taka-akselisto,Renkaat ja vanteet
1091,2009,Toyota,AYGO,277,11.19,88000,86000,Etuakselisto,,
1092,2009,Toyota,COROLLA,2116,4.25,129000,122000,Käyttöjarru,Seisontajarrun dynamometritesti,
1093,2009,Toyota,COROLLA VERSO,1259,9.13,176000,171000,Dieselmoottorin pakokaasumittaus,Renkaat ja vanteet,Käyttöjarru
1094,2009,Toyota,IQ,131,4.58,82000,78000,,,
1095,2009,Toyota,LAND CRUISER,109,5.5,214000,205000,,,
1096,2009,Toyota,PRIUS,672,8.63,146000,138000,Käyttöjarru,Seisontajarrun dynamometritesti,Etuakselisto
1097,2009,Toyota,RAV4,520,13.08,156000,150000,Jousitus ja iskunvaimennus,Käyttöjarru,Dieselmoottorin pakokaasumittaus
1098,2009,Toyota,URBAN CRUISER,570,6.67,126000,117000,Käyttöjarru,,
1099,2009,Toyota,VERSO,432,6.25,162000,150000,Seisontajarrun dynamometritesti,,
1100,2009,Toyota,YARIS,1901,9.99,106000,96000,Jousitus ja iskunvaimennus,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
1101,2009,Volkswagen,CADDY,370,18.92,222000,197000,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Seisontajarrun dynamometritesti
1102,2009,Volkswagen,GOLF,5574,9.2,142000,134000,Jousitus ja iskunvaimennus,Bensiinimoottorin pakokaasumittaus,Renkaat ja vanteet
1103,2009,Volkswagen,JETTA,489,10.43,141000,130000,Jousitus ja iskunvaimennus,,
1104,2009,Volkswagen,PASSAT,2993,11.06,205000,199000,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Sisäinen valvontajärjestelmä (OBD)
1105,2009,Volkswagen,POLO,1123,10.24,108000,99000,Seisontajarrun dynamometritesti,Käyttöjarrun dynamometritesti,Käyttöjarru
1106,2009,Volkswagen,SCIROCCO,275,10.91,128000,124000,,,
1107,2009,Volkswagen,TIGUAN,517,7.16,177000,173000,Jousitus ja iskunvaimennus,,
1108,2009,Volkswagen,TOURAN,540,14.63,202000,189000,Jousitus ja iskunvaimennus,Käyttöjarru,Renkaat ja vanteet
1109,2009,Volkswagen,TRANSPORTER,234,33.34,353000,357000,Ohjausnivelet ja -tangot,Jousitus ja iskunvaimennus,Käyttöjarru
1110,2009,Volvo,C30,175,8.0,133000,130000,Etuakselisto,,
1111,2009,Volvo,C70,188,12.23,192000,195000,,,
1112,2009,Volvo,S40,483,10.77,152000,143000,Etuakselisto,Jousitus ja iskunvaimennus,
1113,2009,Volvo,S60,281,17.8,183000,179000,Seisontajarrun dynamometritesti,Jousitus ja iskunvaimennus,Käyttöjarru
1114,2009,Volvo,S80,359,11.7,216000,202000,Käyttöjarru,,
1115,2009,Volvo,V50,1864,14.75,181000,180000,Etuakselisto,Renkaat ja vanteet,Käyttöjarru
1116,2009,Volvo,V70,2151,10.37,234000,217000,Käyttöjarru,Taka-akselisto,Ohjausnivelet ja -tangot
1117,2009,Volvo,XC60,1255,6.29,195000,188000,Käyttöjarru,Jousitus ja iskunvaimennus,Taka-akselisto
1118,2010,Alfa Romeo,159,112,20.55,136000,132000,Jousitus ja iskunvaimennus,,
1119,2010,Alfa Romeo,MITO,152,27.62,95000,89000,Jousitus ja iskunvaimennus,,
1120,2010,Audi,A1,151,8.61,94000,84000,,,
1121,2010,Audi,A3,1170,9.4,125000,119000,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Käyttöjarrun dynamometritesti
1122,2010,Audi,A4,2438,5.13,157000,150000,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
1123,2010,Audi,A5,730,3.84,141000,137000,,,
1124,2010,Audi,A6,921,7.06,180000,173000,Renkaat ja vanteet,Etuakselisto,Käyttöjarru
1125,2010,Audi,A8,100,4.0,140000,136000,,,
1126,2010,Audi,Q5,446,3.36,157000,156000,,,
1127,2010,Audi,Q7,192,5.73,165000,155000,,,
1128,2010,BMW,1,578,9.86,118000,112000,Taka-akselisto,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD)
1129,2010,BMW,3,1426,16.12,155000,149000,Taka-akselisto,Jousitus ja iskunvaimennus,Renkaat ja vanteet
1130,2010,BMW,5,1962,18.1,180000,172000,Etuakselisto,Jousitus ja iskunvaimennus,Ohjausnivelet ja -tangot
1131,2010,BMW,X1,496,13.51,143000,138000,Taka-akselisto,Etuakselisto,Käyttöjarru
1132,2010,BMW,X5,299,8.36,161000,155000,Etuakselisto,,
1133,2010,BMW,X6,111,7.21,142000,136000,,,
1134,2010,Chevrolet,AVEO,187,13.37,74000,69000,Sisäinen valvontajärjestelmä (OBD),,
1135,2010,Chevrolet,CRUZE,621,19.48,116000,108000,Jousitus ja iskunvaimennus,Käyttöjarru,Etuakselisto
