,model_year,brand,model,fail_pct,reason_1,reason_2,reason_3
316,2010,Honda,CIVIC,5.69,Käyttöjarru,Sisäinen valvontajärjestelmä (OBD),Jousitus ja iskunvaimennus
317,2010,Audi,A3,5.71,Bensiinimoottorin pakokaasumittaus,Jousitus ja iskunvaimennus,Renkaat ja vanteet
318,2010,Skoda,ROOMSTER,5.76,,,
319,2010,Lexus,RX450H,5.76,,,
320,2010,Toyota,AYGO,5.82,,,
321,2010,Skoda,OCTAVIA,5.99,Käyttöjarru,Käyttöjarrun dynamometritesti,Bensiinimoottorin pakokaasumittaus
322,2010,Volvo,V60,6.18,,,
323,2010,Volkswagen,POLO,6.3,Käyttöjarru,Jousitus ja iskunvaimennus,Käyttöjarrun dynamometritesti
324,2010,Seat,IBIZA,6.38,,,
325,2010,Mazda,2,6.4,Ohjausnivelet ja -tangot,Etuakselisto,Sisäinen valvontajärjestelmä (OBD)
326,2010,Skoda,FABIA,6.41,Käyttöjarru,Seisontajarrun dynamometritesti,Renkaat ja vanteet
327,2010,Mini,COOPER/ ONE,6.44,,,
328,2010,Jaguar,XF,6.453,Taka-akselisto,Käyttöjarru,Asiapaperit
329,2010,Audi,Q7,6.47,,,
330,2010,Mazda,6,6.55,Käyttöjarru,Etuakselisto,Renkaat ja vanteet
331,2010,Mercedes-Benz,C,6.6,Seisontajarrun dynamometritesti,Käyttöjarru,Renkaat ja vanteet
332,2010,Volvo,S80,6.67,,,
333,2010,Seat,ALTEA,6.69,Jousitus ja iskunvaimennus,Renkaat ja vanteet,Seisontajarrun dynamometritesti
334,2010,Skoda,SUPERB,6.69,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Etuakselisto
335,2010,Volvo,V70,6.73,Ohjausnivelet ja -tangot,Käyttöjarru,Renkaat ja vanteet
336,2010,Volkswagen,PASSAT,6.86,Renkaat ja vanteet,Jousitus ja iskunvaimennus,Sisäinen valvontajärjestelmä (OBD)
337,2010,Opel,INSIGNIA,7.098,Käyttöjarru,Jousitus ja iskunvaimennus,Renkaat ja vanteet
338,2010,Seat,LEON,7.1,,,
339,2010,Ford,FOCUS C-MAX,7.27,,,
